nome;idade
Samuel Amaral Martin Carter;24
Bruno Marques Carrie Smith;42
Petra-José Castro Sandra Cruz;32
José Magalhães Gary Ramos;57
Luís Silva Susan Graham;50
Nuno-Martim Nunes Jessica Ward;48
Salvador Amaral Christopher Thompson;33
Renato da Lima Kristen Martinez;61
Marcos Melo Mary Murphy;41
José da Leite Jennifer Roy;17
Rafaela-Adriana Melo Kimberly Scott DVM;40
Isaac Mota Anthony Drake;23
Fábio Pereira David Elliott;38
Victória Pinheiro Jennifer Brown;28
Núria Gomes Megan Padilla;53
Marta Nunes Kayla Tucker;66
Helena Reis Mary Carlson;58
Bruna-Íris Coelho David Beard;45
Márcio de Magalhães Leslie Garrett;38
Francisco-Nicole Reis Lisa Allen;63
Enzo Henriques Haley Rodriguez;31
Cláudio Baptista David Campbell;37
Teresa-Samuel Oliveira Gabrielle Perkins;35
Luís da Azevedo Melissa Campos;21
Amélia Pinho Brittney Smith;65
Tatiana Abreu Dr. David Ward MD;31
Petra Nunes Emma Price;64
Micael Mendes Maria Adkins;23
Alex Ribeiro Meagan Henderson;44
Benjamim Reis Benjamin Parker;66
Jéssica-Gabriela Esteves Jessica Brown;56
Manuel Gomes Scott Donovan;27
Erica Freitas Mary Moore;43
Nádia Pinto Jason Sullivan;24
Nair Correia Amy Kirk;17
Letícia Lopes Matthew Smith;13
Letícia Vieira Brandon Carr;35
Renata de Melo Amber Jackson;34
Artur Ferreira Laurie Smith;37
Carlos Moura Lauren Tanner;55
Marco Anjos Katherine Ingram;68
Luís Pires Adam Thompson;47
Luca do Cunha David Serrano;24
Martim Silva Eric Rivera;46
Erica Maia-Andrade Alex Reyes;20
Kyara Rodrigues Vanessa Liu;66
Gaspar Nascimento Lori Garcia;26
Clara Ramos Hannah Flowers;64
Júlia da Martins Beth Smith;70
Yara Vicente-Ribeiro Sara Phillips;56
Valentina Magalhães Alexandra Barrera;54
Naiara Matos Kristie Williams;54
Nádia Rocha William Pacheco;25
Inês Pinheiro Christopher Andrade;52
Denis Leal Joshua Chang;58
José Ramos Margaret Wilson;49
Fernando Vaz Joshua Estrada;56
Noah Coelho Tamara Hale;20
Mauro Moura Roberta Castillo;36
Camila Pacheco Lori Cantrell;64
Luana Coelho Eric Bell;49
Eduardo-Valentina Garcia Amber Wilson;12
Soraia Antunes William Gonzalez;16
Guilherme Oliveira Angela Stafford;28
Valentina Baptista Lisa Vargas;33
Vera Vicente Jodi Williamson;66
Luciana Anjos Loretta Hardy;44
Emma Oliveira Dustin Murray DVM;46
Débora Santos Darrell Carlson;29
Nair-Gonçalo Lopes Robert Williamson;35
Eva Henriques Tammy Costa;27
Nair Teixeira Randy Hunter;32
Marta Magalhães Lori Cannon;41
Sofia Pinho-Barros Charlotte Moore;41
Pedro-Diana Valente Daniel Long;59
Bruno Macedo Rachel Rodgers;50
Bernardo Andrade Kristina Mendoza;43
Raquel Marques Rebecca Gamble;52
Matias Paiva Leah Mosley;53
Renata Domingues-Loureiro Benjamin Arnold;41
Samuel Lopes Eric Krause;21
Diana do Oliveira Abigail Tran;27
Emma Coelho Samuel Torres;22
Henrique-Ana Anjos Amber Ramirez;51
Mauro-Lara Reis Justin Dixon;44
David Costa-Marques Andrew Fields;46
Alexandra Fernandes Patrick Davila;13
Ana Paiva Juan Gonzalez;27
Leonardo Lourenço Marc Gillespie;36
Sebastião Simões Gabrielle Garcia;14
Leonardo Miranda Paula Perkins;37
Flor Nunes Travis Parker;30
Jéssica Miranda Tanner Murray;59
Edgar Mendes-Valente Mark Daniel;20
Yasmin Lima Christine Beltran;32
Caetana Macedo Elizabeth George;46
Teresa do Garcia Kelly Mcgrath;70
Vicente Fonseca Michael Ferrell;55
Santiago-Alex Coelho Edward Terry;22
Lorena-Victória Figueiredo Brandon Chapman;14
Beatriz Cardoso John Perez;67
Diana Rocha Monica Young;48
Francisco Gomes Troy Robinson;37
Mafalda Gonçalves Regina Robbins;29
Lisandro-Sandro Assunção Luis Jones;31
Leonardo Domingues-Martins Brian Cruz;19
Iara Amorim Diana Knight;40
Álvaro Teixeira Jerry Swanson;57
Jorge Cardoso-Mota Caitlin Murphy;58
Guilherme Brito Tiffany Thompson;68
Kévim Costa-Cunha Desiree Matthews;52
Fábio Guerreiro Kelly Chapman;39
Kévim Neto Mitchell Davies;64
Miriam Neves Sharon Smith;28
Rodrigo Moura Barbara Robbins;52
Gabriel Correia Isabel Jackson;17
André Castro Jennifer Vasquez;66
Santiago-Luana Silva Amber Lambert;22
Laura Carneiro Raymond Johnson;35
Francisca-Débora Sá Joseph Kelley;17
Benjamim Antunes-Lima Mary Bryan;25
Sofia Moura-Branco Jeffrey Matthews;58
Manuel de Simões Martin Warren;34
Victória Sá Henry Ware;30
Márcio Baptista Anthony Cooper;63
Pedro Pires Scott Gilmore;32
Dinis Henriques Courtney Blair;44
Renata da Cardoso Don Figueroa;22
Ana Pinto Julia Webb;28
Ângela Sousa Kyle Thompson;69
Catarina Batista Jennifer Avila;55
Emma-Yara Pereira Mikayla Atkinson;24
Margarida Neves Elizabeth Roberts;52
Igor Mota Jason Mack;52
Gustavo Leite-Henriques Justin Stevens;60
Eduardo Ferreira-Vieira Lindsey Sosa;33
Pilar Alves-Ferreira Brad Patrick;68
Manuel Gonçalves Marilyn Marquez;21
Juliana da Nogueira Angela Luna;43
Luca Alves-Antunes Erik Sosa;68
Lucas-Valentina Lima Brooke Noble;16
Sandro de Almeida Cynthia Martinez;40
Bruna Nascimento Anthony Harris;18
Íris Tavares Joshua Santiago;51
José Vaz Catherine Pearson;53
Marco Nascimento Mason Ramirez;43
Valentim-Joaquim Brito Victoria Beltran;59
Kyara Borges Dr. Mark Tran;34
Raquel-Lúcia Morais Joanna Brown;57
César Brito Shawn Flynn;28
Francisca Domingues Stephanie Johnson;34
Amélia Carvalho Chad Bowen;36
Simão Rodrigues Cindy James;36
Henrique Nascimento Erika Ponce;62
Renata Vicente Jonathan Haley;57
Carolina Morais Sarah Nguyen;51
Igor do Pereira Andrew Madden;70
Miguel Pinheiro Joseph Duncan;35
Erica Freitas Mr. Cody Harrington;63
Margarida Barbosa Amanda Clark;52
Mariana Miranda Morgan Morris;49
Enzo Pinto Nicole Morris;31
Fábio Sousa Leah Goodman;43
Simão do Baptista Christy Dyer;62
Vera Pinheiro Steven Mccann;15
Francisca-Eduardo Cruz Lisa Valenzuela;17
Bryan Pinho Guy Kemp;61
Erika Monteiro Mr. Stephen George PhD;19
Irina Ferreira Pamela Chavez;52
Tomé Maia Jessica Martin;53
Amélia Faria Joseph Frost;52
Núria Neto Samuel Webb;47
Gustavo Morais Jacqueline Dixon DDS;44
Dinis de Figueiredo Jerry Tran;47
Renato Tavares William Ferrell;34
Matilde Gaspar Joseph Gomez;14
Flor-Rafaela Domingues Suzanne Schroeder;32
Laura da Rocha Mark Lewis;51
Gonçalo Lopes Lee Stone;24
Joana de Alves Bethany Jackson;20
Erica-Diogo Pires Emily Porter;55
Cláudio Cruz Patricia Jones;34
Melissa Lourenço Rebecca Harvey;24
Madalena de Nascimento Dr. Karen Shah DVM;57
Carolina-Márcio Pinto Laura Edwards;44
Joana Vicente John Martin;41
Carlos Assunção Christine Baxter;28
Margarida Ferreira Jacqueline Mcgee;26
Valentina Barbosa Kari Mendez;58
Noa Torres Michael Carter;37
Ivan Sousa Nicole Conner;48
Júlia Almeida Judy Cooper;63
Francisco Neto Jonathan Harris;36
Jorge Batista Robert Walker;63
César do Matos Peter Kennedy;16
Filipa Nunes William Rose;39
Ema Vicente Cameron Davila;67
Salomé Torres-Guerreiro Jessica Fisher;30
Ivan Nogueira Pamela Clayton;16
Sofia Tavares Laurie Gardner;27
Brian Sá Nicholas Ellis;57
Marcos Assunção Nancy Buckley;64
Kevin-Soraia Barbosa Michelle Scott;32
João Oliveira Randall Boyd;69
Lara-Sofia Mendes Michael Gardner;61
Carlos Cardoso Michael Smith MD;45
Joel Reis Paul Johnson;17
Kyara Fonseca Susan Barnes;12
Luciana Ribeiro Susan Lynn;49
Rui Machado April Smith;37
Salvador Martins Sharon Flores;26
Constança do Ribeiro Erin Miller;61
Mafalda Neves Michelle Welch;32
Renata Tavares Erin Gonzalez;44
Fabiana Baptista Spencer Velazquez;36
Artur Fernandes Timothy Mays;33
Emília Antunes Kimberly Patel;35
Kevin Coelho Christina Perkins;45
Jaime Carvalho Ashley Hudson;45
Kelly Araújo Randall Whitaker;48
Nicole Fernandes Sharon Smith;30
Valentina Magalhães Susan Miller;41
Ivo Pacheco Emily Smith;43
Henrique Figueiredo Dana Jones;14
Simão Fonseca-Assunção Jessica Briggs;61
Beatriz Moreira Marissa Fowler;58
Mélanie Vieira James Murphy;33
Caetana-Ana Brito Jacob Allen;68
Matias Silva Elizabeth Jones;16
Sérgio-Madalena Lourenço Jesus Wheeler;56
Vera Faria-Monteiro Daniel White;22
Rafaela Matias Paul Schmidt;58
Helena-Alexandra Tavares Jessica Cortez;33
Joel Costa Erin Cummings;13
Nair-Cláudio Abreu Rick Klein;41
Filipa Leal Curtis White;52
Luciana Teixeira Rita Blankenship;65
Salomé Valente Jennifer Fields DDS;20
Anita Coelho Steven Martin;47
Gaspar-Inês Cardoso Kelly Atkins;48
Jorge Assunção Dr. Donna Perez;23
Eva Moreira Aaron Hawkins;68
Mário Faria Amanda Thompson;25
Pedro Ferreira Calvin Parker;18
Frederico Coelho Derrick Bush;63
Joana Sousa Vanessa Alexander;54
Nelson Moreira Aaron Roberts;57
Leandro Nunes Nicholas Martin;54
Gonçalo Gomes Sierra Smith;35
Nair Tavares-Valente Allison Hamilton;33
Matias Pereira Erica Hill;15
Denis Ferreira Todd Smith;19
Bruna Vicente Charles Reyes;58
Érica Antunes William Chavez;26
Anita Figueiredo Shannon Duncan;31
Eduardo Simões Randall Ball;25
Rodrigo Nogueira Jenny Vargas;39
Victória Soares Corey Estrada;63
Enzo-Mauro Ribeiro Robert Smith;63
Bryan Sousa Jennifer Gordon;12
Fábio Domingues Theresa Jones;70
Márcio da Melo Sheila Allen;43
Nelson Nogueira Patricia Parker;68
